Function name :,Its purpose
data(fc),"Import data of csv file as an array, each element is string that holds the data of a row"
dataMatrix(fc),"Import data of csv file with the form of matrix, each element is an array that holds the data of a row "
data_vr(fc),"Orgnize the data of the file and display it as dictionary, the key represent the first cells of column, and the value part represent an array of the other elements of that column"
"number_of(fc,mode)","Counts the number of columns, rows and cells in a CSV file"
csv_files_in(folder),Return an array with the names of csv files in that folder
"create_and_write(fc,data)",Create csv file and write in 
"keyword(fc,word)",Receive a keyword and then search for the row it belongs to
"index_cell(fc,cellContent)",Return the coordinates of that cell in csv file
clear(fc),Ddelete the data of csv file ( data not the file itself)
CSVtoXLSX(fc),Create a .xlsx copy of csv file
